,cut_true_function,cut_false_function,cut_true_effect,cut_false_effect
2266,,,暑中伏热,月经延期
2267,,,久嗽久喘,小便不利
2268,,,脾虚气虚,脾脏肿大
2269,,,气虚头晕,脉弦数者
2270,,,喉痹乳蛾,下肢拘挛
2271,,,体虚气弱,小便水利
2272,,,倦怠食少,阴囊肿胀
2273,,,舌红少苔,急性咽炎
2274,,,热痢下血,疮毒脓肿
2275,,,疥癣秃疮,四肢麻木
2276,,,虚劳久咳,各种脓肿
2277,,,短气乏力,红白痢疾
2278,,,胸闷呕吐,癌性疼痛
2279,,,发背恶疮,伤口化脓
2280,,,恶疮瘜肉,内伤出血
2281,,,热毒下痢,两目不清
2282,,,虚寒血淋,筋骨拘挛
2283,,,风热咽痛,云翳遮睛
2284,,,风寒温痹,痢疾后重
2285,,,口干燥渴,咽喉干痛
2286,,,虚寒咳喘,急性皮炎
2287,,,食少腹胀,虚人赢弱
2288,,,暑热水泻,眼睑糜烂
2289,,,气虚耳鸣,牙龈肿烂
2290,,,腹痛腹胀,毒虫螫伤
2291,,,血热风痒,尿道感染
2292,,,湿热痢利,痈疽初起
2293,,,寒热无汗,中阳不足
2294,,,金疮痛疡,大便稀溏
2295,,,不便淋涌,脾胃阳脱
2296,,,风寒感冒,小儿夜啼
2297,,,久咳痰血,全身悉黄
2298,,,神倦乏力,湿疮糜烂
2299,,,扭挫伤折,遍身拘痛
2300,,,妇人阴蚀,大便泄泻
2301,,,反胃不舒,骨折诸症
2302,,,痰黄质稠,单双乳蛾
2303,,,痞满呕逆,小儿喘咳
2304,,,胃痛干呕,男子阴肿
2305,,,寒湿内蕴,并可淋病
2306,,,疮疖顽癣,消渴便数
2307,,,风寒咳喘,胞腹胁痛
2308,,,痰热喘嗽,滴漓不尽
2309,,,身痛体痛,多种出血
2310,,,虚寒胃痛,口唇燥痛
2311,,,四肢逆冷,瘙痒无度
2312,,,伤寒热病,皮肤潮红
2313,,,肺燥咳嗽,腰膝冷痛
2314,,,尿频尿急,历节痛风
2315,,,失眠梦多,孕期呕吐
2316,,,膝痛脚弱,手臂酸痛
2317,,,食积痞滞,蛇虫蛟伤
2318,,,热病高热,心肺积热
2319,,,惊悸健忘,皮疹瘙痒
2320,,,发热烦躁,白癞顽痒
2321,,,风肿瘙痒,预防感冒
2322,,,阳痿腰酸,血热妄行
2323,,,痰核瘰疬,赤痢后重
2324,,,气滞胁痛,恶性疟疾
2325,,,肠风血痢,妇女崩中
2326,,,热痰喘嗽,慢性痢疾
2327,,,水肿腹水,鱼口疮毒
2328,,,肺虚咳喘,腹中癖决
2329,,,热病宰昏,咽喉碎痛
2330,,,脾虚湿胜,咽喉肿痛
2331,,,咳逆吐衄,脉滑而数
2332,,,嗳气呃逆,河豚中毒
2333,,,脾虚乏力,淋巴结炎
2334,,,痰饮咳喘,预防流感
2335,,,肌瘦面黄,腹中虚痛
2336,,,心慌心悸,胸膈结气
2337,,,口疮咽痛,而见发热
2338,,,丹毒湿疹,足膝无力
2339,,,疮痈疖毒,牙齿疼痛
2340,,,食少倦怠,肾囊肿大
2341,,,脾虚胃弱,产后伤风
2342,,,痧胀腹痛,身热瘙痒
2343,,,腹胀吐泻,面目浮肿
2344,,,大风疮疥,全身水肿
2345,,,风湿疮毒,筋骨热痛
2346,,,眩晕耳鸣,大便秘结
2347,,,腹痛吐泻,鼻中息肉
2348,,,发痧腹痛,急性喉炎
2349,,,劳热咳嗽,疝气肿痛
2350,,,风湿热病,肝脾肿大
2351,,,虚劳体瘦,筋脉拘紧
2352,,,食滞虫积,各种眼疾
2353,,,头昏失眠,不育无子
2354,,,头昏健忘,干血痨症
2355,,,目赤惊风,青紫疼痛
2356,,,劳伤疼痛,牙齿痛证
2357,,,气虚无力,食物积滞
2358,,,疔毒痛肿,呕吐不食
2359,,,大热烦渴,跌打捉痛
2360,,,胃胀反酸,蛇虫咬伤
2361,,,抽搐肢冷,形体瘦弱
2362,,,骨蒸烦渴,两脚无力
2363,,,署热口渴,杨梅结毒
2364,,,哮喘咳嗽,腰背酸疼
2365,,,疔疽肿痛,痔疮出血
2366,,,积聚坚癖,热伤阴证
2367,,,口干口苦,睾丸偏坠
2368,,,虚劳肾亏,菌菇中毒
2369,,,湿热膨胀,筋骨疼痛
2370,,,气短乏力,子宫出血
2371,,,心悸失眠,恶性肿瘤
2372,,,赤白热痢,慢性胃炎
2373,,,疔毒痈疮,小儿水痘
2374,,,解毒黄疸,局部死血
2375,,,劳伤筋痛,毒蛇咬伤
2376,,,食积饱胀,纳减化迟
2377,,,肝阳眩晕,诸鱼骨鲠
2378,,,肺痿咳喘,久病虚损
2379,,,骨折伤损,妇女带浊
2380,,,跌打麻痹,麻疹紫黑
2381,,,久咳劳嗽,痹痛入络
2382,,,头晕耳呜,疮疡久溃
2383,,,疖肿疟疾,腰膝痹痛
2384,,,,皮肤疥疮
2385,,,,心胸疼痛
2386,,,,小便脓血
2387,,,,暑天感冒
2388,,,,目生障翳
2389,,,,饮食不消
2390,,,,天疱湿疮
2391,,,,胸腹水肿
2392,,,,产后瘀阻
2393,,,,蜂螫虫咬
2394,,,,黄疸浮肿
2395,,,,劳伤咳喘
2396,,,,肠内积滞
2397,,,,痈疡红肿
2398,,,,金疮折损
2399,,,,手足浮肿
2400,,,,虚性水肿
2401,,,,外感头痛
2402,,,,脾胃不健
2403,,,,春温风热
2404,,,,胸腹胀满
2405,,,,吞酸嘈杂
2406,,,,创面不收
2407,,,,胸脘痞胀
